Image,Mask
water_body_1000_blur.jpg,water_body_1000_blur.jpg
water_body_1000_bright.jpg,water_body_1000_bright.jpg
water_body_1000_flip.jpg,water_body_1000_flip.jpg
water_body_1000_orig.jpg,water_body_1000_orig.jpg
water_body_1000_rot40.jpg,water_body_1000_rot40.jpg
water_body_1002_blur.jpg,water_body_1002_blur.jpg
water_body_1002_bright.jpg,water_body_1002_bright.jpg
water_body_1002_flip.jpg,water_body_1002_flip.jpg
water_body_1002_orig.jpg,water_body_1002_orig.jpg
water_body_1002_rot40.jpg,water_body_1002_rot40.jpg
water_body_1003_blur.jpg,water_body_1003_blur.jpg
water_body_1003_bright.jpg,water_body_1003_bright.jpg
water_body_1003_flip.jpg,water_body_1003_flip.jpg
water_body_1003_orig.jpg,water_body_1003_orig.jpg
water_body_1003_rot40.jpg,water_body_1003_rot40.jpg
water_body_1004_blur.jpg,water_body_1004_blur.jpg
water_body_1004_bright.jpg,water_body_1004_bright.jpg
water_body_1004_flip.jpg,water_body_1004_flip.jpg
water_body_1004_orig.jpg,water_body_1004_orig.jpg
water_body_1004_rot40.jpg,water_body_1004_rot40.jpg
water_body_1006_blur.jpg,water_body_1006_blur.jpg
water_body_1006_bright.jpg,water_body_1006_bright.jpg
water_body_1006_flip.jpg,water_body_1006_flip.jpg
water_body_1006_orig.jpg,water_body_1006_orig.jpg
water_body_1006_rot40.jpg,water_body_1006_rot40.jpg
water_body_1008_blur.jpg,water_body_1008_blur.jpg
water_body_1008_bright.jpg,water_body_1008_bright.jpg
water_body_1008_flip.jpg,water_body_1008_flip.jpg
water_body_1008_orig.jpg,water_body_1008_orig.jpg
water_body_1008_rot40.jpg,water_body_1008_rot40.jpg
water_body_100_blur.jpg,water_body_100_blur.jpg
water_body_100_bright.jpg,water_body_100_bright.jpg
water_body_100_flip.jpg,water_body_100_flip.jpg
water_body_100_orig.jpg,water_body_100_orig.jpg
water_body_100_rot40.jpg,water_body_100_rot40.jpg
water_body_1010_blur.jpg,water_body_1010_blur.jpg
water_body_1010_bright.jpg,water_body_1010_bright.jpg
water_body_1010_flip.jpg,water_body_1010_flip.jpg
water_body_1010_orig.jpg,water_body_1010_orig.jpg
water_body_1010_rot40.jpg,water_body_1010_rot40.jpg
water_body_1011_blur.jpg,water_body_1011_blur.jpg
water_body_1011_bright.jpg,water_body_1011_bright.jpg
water_body_1011_flip.jpg,water_body_1011_flip.jpg
water_body_1011_orig.jpg,water_body_1011_orig.jpg
water_body_1011_rot40.jpg,water_body_1011_rot40.jpg
water_body_1014_blur.jpg,water_body_1014_blur.jpg
water_body_1014_bright.jpg,water_body_1014_bright.jpg
water_body_1014_flip.jpg,water_body_1014_flip.jpg
water_body_1014_orig.jpg,water_body_1014_orig.jpg
water_body_1014_rot40.jpg,water_body_1014_rot40.jpg
